playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
howarst01,1963.0,Steve,Howard,205.0,74.0,R,R,1990-06-16
howarth01,1964.0,Thomas,Howard,200.0,74.0,B,R,1990-07-03
howear01,1946.0,Art,Howe,190.0,74.0,R,R,1974-07-10
howelja01,1955.0,Jay,Howell,200.0,75.0,R,R,1980-08-10
howelja02,1961.0,Jack,Howell,180.0,72.0,L,R,1985-05-20
howeljp01,1983.0,J. P.,Howell,180.0,72.0,L,L,2005-06-11
howelke01,1960.0,Ken,Howell,200.0,75.0,R,R,1984-06-25
howelpa01,1968.0,Pat,Howell,155.0,71.0,B,R,1992-07-10
howest01,1958.0,Steve,Howe,180.0,73.0,L,L,1980-04-11
howitda01,1964.0,Dann,Howitt,205.0,77.0,L,R,1989-09-15
howrybo01,1973.0,Bob,Howry,215.0,77.0,L,R,1998-06-21
hoype01,1966.0,Peter,Hoy,220.0,79.0,L,R,1992-04-11
hoytla01,1955.0,LaMarr,Hoyt,195.0,75.0,R,R,1979-09-14
hrbekke01,1960.0,Kent,Hrbek,200.0,76.0,L,R,1981-08-24
hubbaca99,1900.0,Cal,Hubbard,260.0,75.0,,,
hubbagl01,1957.0,Glenn,Hubbard,150.0,69.0,R,R,1978-07-14
hubbami01,1971.0,Mike,Hubbard,180.0,73.0,R,R,1995-07-13
hubbatr01,1964.0,Trent,Hubbard,180.0,68.0,R,R,1994-07-07
huberjo01,1981.0,Jon,Huber,200.0,73.0,R,R,2006-08-30
huberju01,1982.0,Justin,Huber,200.0,74.0,R,R,2005-06-21
huch01,1984.0,Chin-lung,Hu,190.0,71.0,R,R,2007-09-01
huckake01,1971.0,Ken,Huckaby,205.0,73.0,R,R,2001-10-06
hudekjo01,1966.0,John,Hudek,200.0,73.0,B,R,1994-04-23
hudlere01,1960.0,Rex,Hudler,180.0,73.0,R,R,1984-09-09
hudsoch02,1959.0,Charles,Hudson,185.0,75.0,B,R,1983-05-31
hudsoda01,1987.0,Daniel,Hudson,235.0,75.0,R,R,2009-09-04
hudsojo02,1970.0,Joe,Hudson,173.0,73.0,R,R,1995-06-10
hudsoky01,1987.0,Kyle,Hudson,175.0,71.0,L,L,2011-09-04
hudsolu01,1977.0,Luke,Hudson,195.0,75.0,R,R,2002-07-01
